,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_STARS,M_STARS,P_EVMOS,M_EVMOS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC,Date
123,1659798047817,10.83097894990481,3170392712.29982,1.0868527250717757,462466958.2143529,4.948062573764229,280171330.61113435,0.007012846396485957,13060609.576819098,0.03106536548190265,32927381.82013026,1.7769636756872984,361053591.9186991,0.3947622935246532,66284117.3235803,1.1398364494111102,202816950.6737661,2.229251435981347,543633192.8253913,1715.7080516440049,205851933576.78586,23220.887956958457,443910317519.8701,2022-08-06 15:00:47.817
124,1659801668607,10.771968729945261,3151770708.488581,1.083779591663485,461278669.5200867,4.948436081135067,279374241.2871313,0.007023665679274619,13050449.41404336,0.030958419520269086,32819324.3646111,1.7781412237434,362208657.7930714,0.39481376435367943,66265768.28933566,1.1588342861265553,205864068.26920402,2.23471541763106,545076303.1611488,1716.3868246409481,205671808276.05945,23209.576812276,443533296651.94403,2022-08-06 16:01:08.607
125,1659805335658,10.766882483421856,3156095113.9112296,1.0818235141693082,462092089.2534837,4.963231588016609,280396195.0781167,0.006982307286712768,13036025.202791769,0.030872093251487473,32852427.69335658,1.7814739089233718,361693406.63633794,0.3955289928688246,66288422.05376949,1.1568779672183416,205654371.63660073,2.2216609481734273,543807707.7280959,1710.3116923411342,205613036982.52917,23212.477809256714,443813815169.5636,2022-08-06 17:02:15.658
126,1659808841710,10.760570533704174,3154803194.894754,1.0842789429715396,462220081.050358,4.961390103335159,280931609.0847907,0.006984427584446971,13035524.004245128,0.030899066944001415,32760215.212634645,1.7668504729762016,358813362.14646095,0.3949893549657044,66385797.51967088,1.1476649535573071,204817876.85478032,2.2083194473802212,543388179.695557,1709.9196920494608,205661023364.18503,23163.585786848744,443910796912.03357,2022-08-06 18:00:41.710
127,1659812461180,10.750216031595805,3149235246.7260504,1.08101760103415,460848825.36797494,4.954967040280833,280126871.20245826,0.00699985111998226,13051285.141619863,0.03084269027114515,32698385.78309636,1.7644393079568588,358223247.4471809,0.3950214571481152,66314488.844838224,1.1521766713407202,204744446.5793807,2.1933480594691073,535505942.85354954,1712.3503692297127,205704790312.43005,23175.78180257873,443252610664.43445,2022-08-06 19:01:01.180
128,1659816016136,10.743677216838877,3142457412.1287265,1.0808918541637038,460794565.9823263,4.97361214023106,281499331.3789967,0.006995213746653151,13031545.195527446,0.03078743922411807,32645591.216009505,1.7524744716617742,356900031.0240412,0.3948937852528794,66422258.70125345,1.1495769254544392,204247379.2702887,2.196939842467912,535633204.0962892,1715.6322812864312,205814599696.15735,23209.43804276598,443631581344.8907,2022-08-06 20:00:16.136
129,1659819706145,10.738563627459218,3141955136.775043,1.0809106106863562,460454556.2752934,4.99581229229891,282550164.80741966,0.006995839846785645,13037632.42500485,0.030732754534511436,32565118.7299922,1.7429772135332555,354506493.0641821,0.3948683896731642,66341441.59066776,1.1474655726593719,203928523.08166483,2.1923363029154244,535315716.1750819,1715.2013307181805,205699464617.30823,23184.24808221292,443138672331.5608,2022-08-06 21:01:46.145
130,1659823336237,10.776853611726414,3151459046.953067,1.0838681588198242,461812762.5448103,5.009691493540501,283382998.36853015,0.006993295227329636,13032762.785835333,0.03075605760243931,32616016.2848925,1.7558710458204356,357738392.24688095,0.39509584752186333,66421709.721898384,1.1510760721095656,204384745.21656233,2.2005134515201914,536164717.28894454,1717.2280507097737,205903290045.7243,23191.557167588115,443543528274.7266,2022-08-06 22:02:16.237
131,1659826954958,10.731387472523261,3141755251.6784887,1.082718355505112,461619664.90292907,5.011824043290428,283092243.9470787,0.00696800068253927,12989101.262300598,0.03066957389212769,32542310.54336781,1.7608099786917717,358364787.6236747,0.3956141918573113,66455276.43737562,1.157134496695168,205937112.5671574,2.1958735544366856,536048912.84837264,1713.4859863297656,205837384160.3139,23199.689947122362,443478204118.5664,2022-08-06 23:02:34.958
132,1659830546742,10.651727662251746,3118423082.854126,1.0755744786851256,458526948.1817376,4.9543143256264335,280244926.18695015,0.0069175448413684535,12906050.598202173,0.03022101404051345,32052672.78764913,1.7724803278413914,361156380.32816905,0.3956983659170956,66522035.824249834,1.1385588019021844,202380598.8786953,2.1800461603110244,532323537.7837594,1693.2965918360276,203417937064.14215,22984.57953144855,439414782173.18774,2022-08-07 00:02:26.742
