Date,Timestamp,P_ATOM,M_ATOM,P_OSMO,M_OSMO,P_JUNO,M_JUNO,P_ROWAN,M_ROWAN,P_EVMOS,M_EVMOS,P_STARS,M_STARS,P_AKASH,M_AKASH,P_SECRET,M_SECRET,P_KAVA,M_KAVA,P_ETH,M_ETH,P_BTC,M_BTC
2022-12-11,1670799664313,9.971696873257518,2918513717.4996815,1.0395723783935402,515832683.7433837,1.6327783046179558,106085372.66201659,0.0013505279551123417,3389672.7484445735,0.4933937018348313,181967163.08895913,0.037055214261024615,48388003.61729532,0.22847331929077414,44873034.884099275,0.8014612910771062,150393476.01340315,1.0777136595038432,372048272.73209274,1280.2762410012208,154227428913.34525,17231.656730358165,331362438380.8805
2022-12-12,1670886133268,9.651114281826692,2823754138.9623537,0.9402343699859724,465859590.962655,1.5638641364949537,106133132.61886227,0.0008896246169040972,2303082.605891641,0.43290053046261456,160414801.62763727,0.03362389566567325,43916538.90394277,0.21895192020906,42968417.45266715,0.7800441301947844,146455043.4777599,1.0132626268479312,370895403.54109997,1275.8073843172754,153891517776.91364,17184.478048793702,330704172804.50336
2022-12-13,1670972531739,9.817864686888386,2877377682.2718763,0.9401121615701806,466675417.3512757,1.5463541279564268,100479361.0246265,0.0008440272960547663,2138495.7985962257,0.43008713008815735,159878172.91640365,0.032660041986483666,42732225.56457169,0.22236085631273134,43663822.40675167,0.7309245030837112,137434633.49508163,0.9587965675594542,325018213.3862731,1338.3896121503908,160706277217.495,17896.63794043742,343405409120.9064
2022-12-14,1671058930474,9.995235071553918,2900097426.771281,0.9202107652527884,458419496.499943,1.4932993809743245,97253127.74839151,0.0007569066559180505,1900428.6534994324,0.4108253821169008,153271752.74910763,0.032904227979428165,43175559.09376982,0.21483263225694713,42233230.53801648,0.7294366062600751,137228318.1091885,0.885802187540199,308887432.336801,1343.4152068424987,162241822448.48328,18320.817235248396,352371872285.8553
2022-12-15,1671145205699,9.66707856123919,2826465278.1530786,0.8927282787159526,444420105.8277957,1.4253810365910784,92807263.13634303,0.0005315646699099755,1330209.523622904,0.3986115780092694,148905595.95175523,0.03136666720542847,41196415.62797438,0.20926109885557162,41031786.608279794,0.7094451919740128,133763386.61322923,0.8773635998618198,305834669.0378228,1308.4131547914335,157633274799.26862,17808.71617265881,342692750075.4062
2022-12-16,1671231719234,9.510472527860728,2782782617.1276493,0.8750726358295863,434948642.20572555,1.3709373413361374,89203449.1145432,0.000517955511760112,1300079.1745059588,0.37691720051225025,141196385.97217473,0.030224602358807022,39646138.39086668,0.2075363213388187,40827370.89847779,0.6825953111295814,128550881.51837538,0.8653052488165044,304572198.251213,1276.7387813573478,153872284495.6217,17478.099781794448,336204005795.48456
2022-12-17,1671318183098,8.785601635487865,2567822813.8940682,0.7833056090313749,391607729.52461696,1.2354062808965478,80455449.26054013,0.0003826044605333629,965744.187045522,0.3393939203987598,127154158.66472162,0.02789018729852127,36725137.87271708,0.20160686680476805,39659121.24676726,0.6226852908599707,117406014.46376735,0.7268086946351491,255119522.2085875,1184.8164059263834,142715014752.63885,16758.925191744926,321966560321.3536
2022-12-18,1671404484618,8.901785773392652,2605257319.295054,0.7867654711644441,393164351.8039855,1.263250571732071,82448529.68638532,0.00036237334863084466,909748.273458685,0.33492220239594134,126039282.90532453,0.028187087818977413,37136245.14706412,0.21550960977673808,42340571.092948474,0.6309829033987572,119037032.09808308,0.7219289543170082,254345541.30100742,1191.8643048994352,143745719520.1919,16800.559333751997,323114601170.6067
2022-12-19,1671490886303,8.917544387378143,2610330280.059585,0.7794073370210188,390057297.5724403,1.2427227042894058,81239218.5122139,0.0003362731851306462,844362.6139738335,0.333241286927363,126044539.46610801,0.027793478078459173,36636118.921810515,0.21328869845787884,41982469.167454205,0.618228830842319,116769249.273379,0.7168250754632621,252399442.23185238,1191.4754905076622,143690867909.54193,16794.452547453122,323209588654.5657
2022-12-20,1671577283753,8.975099537682064,2627498117.9681506,0.7533519410074905,376109350.3532034,1.2660022872691339,82795084.24943426,0.0003216385204112374,805423.8471832688,0.3270887374267487,123565995.22491397,0.02709979841560524,35743356.31156321,0.19966940231814165,39373473.24457186,0.71499935412869,129957699.20245336,0.7412713069536006,262574882.2486988,1219.4333367258498,147130809085.59973,16940.613225349385,325939983766.01794
2022-12-21,1671663623838,9.045374343271645,2641864883.9809465,0.7416934414273272,372316857.30330986,1.2534760331137416,82160489.78606161,0.00029086839985059985,730127.5863512151,0.32552411066056075,123366040.47676617,0.026665766052397972,35245072.790563606,0.20436224414486967,40260425.66342611,0.6614867221706671,124865355.7154722,0.7220706815599695,256240691.66726506,1218.6206878905346,146848925673.8524,16916.07097405973,325120443529.51874
2022-12-22,1671750062205,8.970782518553325,2624898541.2223363,0.7248271192354488,363573064.4438845,1.2258544743449968,80027239.75226106,0.00027770125940761625,707925.0147988008,0.30520515531905074,115636052.92928481,0.02557206494390844,33802069.62252182,0.20495084456121432,40386054.75501363,0.6308976692151972,119174493.3734304,0.721406697688753,256190625.68664482,1218.8975581033621,146985439459.32635,16882.232875188733,324672326063.9059
2022-12-23,1671836517316,9.025960797688064,2638648265.4157834,0.7433500544997905,373646737.7696192,1.2270908720132438,80478980.54445145,0.00027795241037626724,685375.669402997,0.2942428345327438,112107942.27284862,0.02515227632188865,33318421.608497318,0.20824165687149118,40952085.27019109,0.6424619700953783,121743857.36421135,0.7356247511600283,263093315.37743327,1225.106340843888,147997550450.47855,16891.297302185394,325460769419.0146
2022-12-24,1671922855728,9.02790960329919,2640839197.209148,0.7703039924072593,396235949.21148294,1.2270428094119106,80435959.75738734,0.0003137249385113185,781933.2310888356,0.3080684111233925,118625354.5015017,0.025468335545995598,33777621.13648402,0.2100361876420819,41505617.99609196,0.6458518762048018,121453780.76078986,0.7286051523422581,260563662.10178447,1224.5326967462831,147606818719.9141,16859.602706687205,324397615331.9731
2022-12-25,1672009258907,9.040891521973817,2645502039.341424,0.7496270413422543,377059109.64661425,1.1981878103615682,78626704.6442649,0.00037617225196219474,943985.4786329626,0.32071303982449423,122647432.31298326,0.024999636007894767,33223928.212794464,0.20788603730771676,40979647.15325987,0.6389341943783338,121121958.66190085,0.7085096755065864,253602448.688235,1222.4479723205332,147392020165.04633,16849.932721831166,324508908749.5593
2022-12-26,1672095712386,9.12307976280773,2669552667.52013,0.7462730982349235,376158646.57410496,1.1865946911900906,78323720.00297019,0.0004826227976677962,1211056.4538218682,0.31611894190440104,121290245.27326491,0.025456291540359707,33834463.24844905,0.20547082152623392,40479579.87366335,0.6416354317165237,122202135.22731921,0.6987279490468719,250626506.86815745,1221.8337525129866,147277065285.6614,16895.732317171107,325049805664.07074
2022-12-27,1672182010838,9.400804190210106,2737536759.8924665,0.7534783179122044,379730791.29931885,1.2075621608091829,79320880.71715952,0.0004739519319945799,1187299.9269815239,0.3163413679294524,121446032.26711546,0.025458573529527826,33841637.96445724,0.20968020870148446,41320412.476475656,0.6509531457580653,124120201.94932626,0.7000218675056563,252216675.02969998,1226.026837956892,147697269147.94653,16895.753539841488,325036912914.6697
2022-12-28,1672268442274,9.241082145253033,2693205663.561644,0.7366779976141746,370969678.0953095,1.1844423104185888,77998343.46840687,0.00045427066244086876,1138550.0835581042,0.3203108636700227,123158602.49284253,0.024578354433999732,32700483.117229313,0.20451083293235936,40403490.62427726,0.6356051851671762,120834886.3961484,0.6935923518206231,250574392.62842795,1211.819562063861,146030514727.00162,16717.054805631637,321901941065.1737
2022-12-29,1672354924427,9.352259432818565,2737086286.5309362,0.7063502223503395,356835050.85014415,1.1641422535565407,76692501.90925808,0.0004820457150515759,1210162.225249121,0.3057552362152857,118144205.51787762,0.023362341938368975,31126770.656552184,0.1991324093926618,39310538.515640825,0.6115702303808318,116156391.0177566,0.6602816599793049,238619095.83150387,1203.2854017133518,144993646055.21664,16659.638927607673,320576874656.1662
2022-12-30,1672441226411,9.386862875589483,2747414357.35168,0.7018616021877171,355022147.138715,1.166092751117686,76745573.75123799,0.000422550792843428,1002453.3578600878,0.2926907621671793,113035770.86636767,0.022789339533551865,30420538.084026348,0.1980364308639086,39207169.800268024,0.6124260172252524,116245264.37461111,0.6279436401323426,227673851.10674167,1201.5953341447441,144831301452.10547,16646.17046569817,320297298175.87695
2022-12-31,1672484437972,9.387873683033137,2746813634.602411,0.6957394490669098,352195195.4094069,1.157575090362068,76315701.58816512,0.00041935986395858345,1070589.835028057,0.287139618364954,110976115.82266635,0.02277268859953203,30408718.577348012,0.19148628087168654,37800304.29591141,0.6075081657672786,115587344.65759976,0.6005002165990871,218470143.87116164,1199.4291454296608,144611517916.40677,16609.13431538681,319722045805.09534
